indicator_id,name,measure,how_calculated,source_list
168,Carbon Monoxide Hospitalizations (Unknown Cause),Rate,"<p>Number of NYC resident hospitalizations containing ICD-9 diagnosis code for carbon monoxide poisoning, 986, or either of the following codes for unknown reason E982.0, or E982.1. Must not have any fire-related injury code E890.0-E899.9, nor any intentional injury code E950.0-E969. Includes 986 without any E-code. Count is divided by the population using NYC DOHMH intercensal estimates; expressed as cases per million residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
445,Carbon Monoxide Deaths (Fire-Related),Rate,"Count of deaths with ICD10 code of T58 as a contributing cause, with underlying cause of death in the range of X00-X09 (unintentional, fire-related causes), divided by the annual population using NYC DOHMH intercensal estimates; expressed as cases per 100,000 residents",New York City Bureau of Vital Statistics
447,Carbon Monoxide Deaths (Other Causes),Rate,"Count of deaths with ICD10 code of T58 as a contributing cause, with underlying cause of death in the range of V01-W99 or X10-X59 or Y85-Y86, divided by the annual population using NYC DOHMH intercensal estimates; expressed as cases per 100,000 residents.",New York City Bureau of Vital Statistics
449,Carbon Monoxide Deaths (Unknown Cause),Rate,"Count of deaths with ICD10 code of T58 as a contributing cause, with underlying cause of death in the range of Y10-Y34, divided by the annual population using NYC DOHMH intercensal estimates; expressed as cases per 100,000 residents.",New York City Bureau of Vital Statistics
460,Asthma Emergency Department Visits (Children 0 to 4 Yrs Old),Rate,"<p>Number of asthma-related emergency department (ED) visits among NYC resident children up to 4 years old, divided by the population of children up to 4 years old, using NYC DOHMH intercensal estimates; expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
473,Carbon Monoxide Emergency Department Visits (Fire-Related),Rate,"<p>NYC residents treated in an emergency department (ED), including those who were admitted as inpatients after being seen in an ED, having an ICD-9 diagnosis code for carbon monoxide poisoning, 986, and an unintentional fire-related injury code within the range of E890.0-E899.9. Cannot have any intentional injury code within E950.0-E979.9 or E990-E999. Counts are divided by the population using NYC DOHMH intercensal estimates and expressed as cases per million residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data; United States Census
476,Carbon Monoxide Emergency Department Visits (Other Causes),Rate,"<p>NYC residents treated in an emergency department (ED), including those who were admitted as inpatients after being seen in an ED, having the ICD-9 diagnosis code for carbon monoxide poisoning, 986 and any of the following codes: E818, E825, E838, E844, E867, E868.0-1, E869.9 or having E868.2- E868.9 codes (regardless of the presence or absence of 986). Must not have fire-related injury codes E890.0-E899.9. Cannot have any intentional injury code within E950.0-E979.9 or E990-E999. Counts are divided by the population using NYC DOHMH intercensal estimates and expressed as cases per million residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data; United States Census
479,Carbon Monoxide Emergency Department Visits (Unknown Cause),Rate,"<p>NYC residents treated in an emergency department (ED), including those who were admitted as inpatients after being seen in an ED, who have no fire-related or other cause codes, and have any of the following ICD-9 codes: 986, E982.0 or E982.1. Cases with both fire-related and other cause codes are also included in this category. Cannot have any intentional injury code within E950.0-E979.9 or E990-E999. Counts are divided by the population using NYC DOHMH intercensal estimates and expressed as cases per 100,000 residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data; United States Census
536,Heat Stress Emergency Department Visits,Rate,"<p><span><span>Measure includes NYC residents who visited a NYC emergency department (ED) for the effects of heat and light (ICD9-CM codes 992.0-992.9) or excessive heat due to weather conditions or undetermined cause (E-codes E900.0, E900.9) during the months of May through September, excluding effects of excessive heat due to man-made conditions (E-code E900.1). The measure includes those who were ultimately admitted to the hospital.&nbsp;</span>Counts are divided by the population using NYC DOHMH intercensal estimates and expressed as cases per 100,000 residents.</span></p>
<p>Note that ED visits that resulted in a hospitalization are also represented in the Heat Stress Hospitalizations indicator.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data; United States Census
539,Heat Stress Hospitalizations,Rate,"<p>Measure includes NYC residents&nbsp;admitted to a NYC hospital&nbsp;during the months of May through September for the effects of heat and light (ICD9-CM diagnosis codes 992.0-992.9) or excessive heat due to weather conditions or undetermined cause (E-codes E900.0, E900.9), excluding excessive heat due to man-made conditions (E-code E900.1). The numbers are divided by the population using NYC DOHMH intercensal estimates and expressed as cases per 100,000 residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data; United States Census
650,PM2.5-Attributable Respiratory Hospitalizations (Adults 20 Yrs and Older),Rate,"<p>Estimate is based on the number of hospitalizations for respiratory causes associated with the difference in air quality for indicator years relative to modeled natural background. Estimate is calculated using the acute risk of hospitalizations for all respiratory causes from the Moolgavkar 2000 study conducted on Los Angeles residents between 20-64 years of age and the Zanobetti et al 2009 study in 26 US communities of residents over 65 years of age. Neighborhood estimates expressed as annual cases per 100,000 residents over 20 years of Age.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS); US Census; USEPA Air Quality System; Moolgavkar SH (2000) Inhal Toxicol 12(Supp 4):75–90; Zanobetti etal.(2009) Environ Hlth 8:58. doi:10.1186/1476-069X-8-58
651,"PM2.5-Attributable Cardiovascular Hospitalizations (Adults 40 Yrs and Older) ",Rate,"<p>Estimate is based on the number of hospitalizations for cardiovascular causes associated with the difference in air quality for indicator years relative to natural background (modeled air quality levels under no man-made air pollution emissions). Estimate is calculated using the acute risk of hospitalizations for all cardiovascular causes from the Ito K et al 2010 study conducted on New York City residents above 40 years of age. Neighborhood estimates expressed as annual cases per 100,000 residents over 40 years of age.</p>","New York State Statewide Planning and Research Cooperative System (SPARCS); US Census; US EPA Air Quality System; Ito K et al (2011) Environ Hlth Persp, 119(4):467-473"
652,"O3-Attributable Cardiac and Respiratory Deaths ",Rate,"Estimate is based on the number of cardiovascular and respiratory mortalities associated with the difference in air quality for indicator years relative to modeled natural background.  Estimate is calculated using the acute cardiorespiratory mortality risk estimate from Huang et al 2005 estimate of New York City risk.  Neighborhood estimates expressed as annual cases per 100,000 residents. ",New York City Bureau of Vital Statistics; United States Census ; USEPA Air Quality System; Huang Y et al. (2005) Environmetrics 16:547–562
696,Public School Children (5-14 Yrs Old) with Asthma,Rate,"<p>Number of public school children, aged 5-14 years, with a diagnosis of asthma that has been reported to NYC DOHMH during the current or previous school year, divided by the 5-14 year old population, expressed per 1,000. Rates are calculated by residence of the child. Note: Use of a denominator consisting of all 5-14 year olds results in an underestimate of the true asthma prevalence, since the numerator represents only children enrolled in public schools that report to NYC DOHMH.</p>",New York City Automated School Health Records
784,Public School Children (5-14 Yrs Old) with Persistent Asthma,Rate,"<p>Number of public school children, aged 5-14 years, with a most recent asthma diagnosis reported to NYC DOHMH from the previous or current school year that describes symptoms occurring more than twice per week, divided by the 5-14 year old population, expressed per 1,000. Rates are calculated by residence of the child. Note: Use of a denominator consisting of all 5-14 year olds results in an underestimate of the true asthma prevalence, since the numerator represents only children enrolled in public schools that report to NYC DOHMH.</p>",New York City Automated School Health Records
753,Cold Stress Emergency Department Visits,Rate,"<p>NYC residents treated in a NYC emergency department during the months of Oct-April, having an ICD-9 diagnosis code for the effects of reduced temperature in the range of 991, or E-codes E901.0, E901.8, E901.9, or E988.3 for excessive or extreme cold due to weather conditions or undetermined cause. Records with an E-code of E901.1 for excessive cold due to man-made conditions were excluded. The data include those who were admitted with a diagnosis of cold-related illness in any principal or other diagnostic field. The data also include patients admitted to the hospital after being treated in an emergency department. Year is based on date of admission. Counts are divided by the population using NYC DOHMH intercensal estimates and expressed as cases per 100,000 residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data; United States Census
750,Cold Stress Hospitalizations,Rate,"<p>NYC residents admitted to a NYC hospital during the months of Oct-April, having an ICD-9 diagnosis code for the Effects of reduced temperature in the range of 991, or E-codes E901.0, E901.8, E901.9, or E988.3 for excessive or extreme cold due to weather conditions or undetermined cause. Records with an E-code of E901.1 for excessive cold due to man-made conditions were excluded. The data include those who were admitted with a diagnosis of cold-related illness in any principal or other diagnostic field.&nbsp;Year is based on date of admission. Counts are divided by the population using NYC DOHMH intercensal estimates and expressed as cases per 100,000 residents.</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data; United States Census
883,Work-Related Deaths across All Industries,Rate,"<p>Number of fatal work-related injuries occurring in NYC and reported to the U.S. Bureau of Labor Statistics, divided by the size of the NYC workforce, expressed as deaths per 10,000 workers.</p>",U.S. Bureau of Labor Statistics Census of Fatal Occupational Injuries; U.S. Bureau of Labor Statistics Current Population Survey
1008,Babesiosis,Rate,"<p><span>Crude Rate&nbsp;</span><span>per 100,000 Population</span></p>",NYC DOHMH Bureau of Communicable Disease
1043,West Nile virus,Rate,"<p><span>Crude Rate&nbsp;</span><span>per 100,000 Population</span></p>",NYC DOHMH Bureau of Communicable Disease
1065,Chronic Obstructive Pulmonary Disease  Hospitalization,Rate,"<p>Number of Chronic Obstructive Pulmonary Disease (COPD)-related hospitalizations among NYC residents aged 25 years and older, summed within 5-year age groups, and divided by the population in each age group using NYC DOHMH intercensal estimates; quotients are multiplied by the proportion of the 2000 US population in each age group. Rate is expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>Hospitalizations include ICD-9 principal diagnosis codes 490 (bronchitis, not specified as acute or chronic),&nbsp;491 (chronic bronchitis), 492 (emphysema), 496 (chronic airway obstruction, not elsewhere classified), 493.2 (chronic obstructive asthma) or ICD-10 principal diagnosis codes J40 (bronchitis, not specified as acute or chronic), J41-J42 (chronic bronchitis), J43 (emphysema), or J44 (other COPD). Cases with 493.2 are excluded if none of the secondary diagnosis fields contain 490-492 or 496.</p>
<p>&nbsp;</p>
<p>New York hospitals began using the ICD-10 system on October 1, 2015. <strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1068,Chronic Obstructive Pulmonary Disease Emergency Department Visits,Rate,"<p>Number of Chronic Obstructive Pulmonary Disease (COPD)-related emergency department (ED) visits among NYC residents aged 25 years and older, summed within 5-year age groups, and divided by the population in each age group using NYC DOHMH intercensal estimates; quotients are multiplied by the proportion of the 2000 US population in each age group. Rate is expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>ED vists&nbsp;include ICD-9 principal diagnosis codes 490 (bronchitis, not specified as acute or chronic),&nbsp;491 (chronic bronchitis), 492 (emphysema), 496 (chronic airway obstruction, not elsewhere classified), 493.2 (chronic obstructive asthma) or ICD-10 principal diagnosis codes J40 (bronchitis, not specified as acute or chronic), J41-J42 (chronic bronchitis), J43 (emphysema), or J44 (other COPD). Cases with 493.2 are excluded if none of the secondary diagnosis fields contain 490-492 or 496.</p>
<p>&nbsp;</p>
<p>New York hospitals began using the ICD-10 system on October 1, 2015. <strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1196,Asthma Emergency Department Visits (Children 5 to 17 Yrs Old),Rate,"<p>Number of asthma-related emergency department (ED) visits among NYC resident children aged 5 to 17 years, divided by the population of children 5 to 17 years old, using NYC DOHMH intercensal estimates; expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1198,Asthma Emergency Department Visits (Adults),Rate,"<p>Number of asthma-related emergency department (ED) visits among NYC adults (18 years and older), divided by the population of adults (18 years and older) using NYC DOHMH intercensal estimates; expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015.&nbsp;<strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1201,Asthma Hospitalizations (Children 5 to 17 Yrs Old),Rate,"<p>Number of asthma-related hospitalizations among NYC resident children aged 5 to 17 years, divided by the population of children 5 to 17 years old, using NYC DOHMH intercensal estimates; expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>&nbsp;A hospitalization is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1203,Asthma Hospitalizations (Adults),Rate,"<p>Number of asthma-related hospitalizations among NYC resident adults (18 years and older), divided by the population of adults (18 years and older) using NYC DOHMH intercensal estimates; expressed as cases per 10,000 residents.</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. <strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1202,Asthma Hospitalizations (Adults),Number,"<p>Number of asthma-related hospitalizations among NYC resident adults (18 years and older).</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. <strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1195,Asthma Emergency Department Visits (Children 5 to 17 Yrs Old),Number,"<p>Number of asthma-related emergency department (ED) visits among NYC resident children aged 5 to 17 years.</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1200,Asthma Hospitalizations (Children 5 to 17 Yrs Old),Number,"<p>Number of asthma-related hospitalizations among NYC resident children aged 5 to 17 years.</p>
<p>&nbsp;</p>
<p>&nbsp;A hospitalization is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1197,Asthma Emergency Department Visits (Adults),Number,"<p>Number of asthma-related emergency department (ED) visits among NYC adults (18 years and older).&nbsp;</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015.&nbsp;<strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1189,Cold Stress Deaths,Number,"<p>Number of deaths during cold season months of October-April with an underlying or contributing cause that includes excessive natural cold (ICD10 code X31) and hypothermia (ICD10 code T68), among NYC residents. Number excludes&nbsp;deaths due to excessive cold of man-made origin (ICD10 code W93) and intentional deaths (ICD10 codes X6-X9, Y0, Y35, Y36).</p>",New York City Bureau of Vital Statistics
1067,Chronic Obstructive Pulmonary Disease Emergency Department Visits,Number,"<p>Number of Chronic Obstructive Pulmonary Disease (COPD)-related emergency department (ED) visits among NYC residents aged 25 years and older, summed within 5-year age groups.</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>ED vists&nbsp;include ICD-9 principal diagnosis codes 490 (bronchitis, not specified as acute or chronic),&nbsp;491 (chronic bronchitis), 492 (emphysema), 496 (chronic airway obstruction, not elsewhere classified), 493.2 (chronic obstructive asthma) or ICD-10 principal diagnosis codes J40 (bronchitis, not specified as acute or chronic), J41-J42 (chronic bronchitis), J43 (emphysema), or J44 (other COPD). Cases with 493.2 are excluded if none of the secondary diagnosis fields contain 490-492 or 496.</p>
<p>&nbsp;</p>
<p>New York hospitals began using the ICD-10 system on October 1, 2015. <strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1042,West Nile virus,Number,<p><span>Number of cases meeting the national case definition</span></p>,NYC DOHMH Bureau of Communicable Disease
1064,Chronic Obstructive Pulmonary Disease  Hospitalization,Number,"<p>Number of Chronic Obstructive Pulmonary Disease (COPD)-related hospitalizations among NYC residents aged 25 years and older, summed within 5-year age groups.</p>
<p>&nbsp;</p>
<p>Hospitalizations include ICD-9 principal diagnosis codes 490 (bronchitis, not specified as acute or chronic),&nbsp;491 (chronic bronchitis), 492 (emphysema), 496 (chronic airway obstruction, not elsewhere classified), 493.2 (chronic obstructive asthma) or ICD-10 principal diagnosis codes J40 (bronchitis, not specified as acute or chronic), J41-J42 (chronic bronchitis), J43 (emphysema), or J44 (other COPD). Cases with 493.2 are excluded if none of the secondary diagnosis fields contain 490-492 or 496.&nbsp;</p>
<p>&nbsp;</p>
<p>New York hospitals began using the ICD-10 system on October 1, 2015. <strong style=""color: red;""> Because the ICD systems differ in how they classify adult asthma, data are not comparable before and after 2015. Data from 2015 are not shown because they contain a combination of ICD-9 and ICD-10 principal diagnosis codes.</strong></p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
1039,Youth Asthma in the Past 12 Months,Number,"<p><span>Estimated number of public high school students who reported having <span>an asthma attack in the past 12 months</span>, rounded to the nearest 1,000.</span></p>",New York City Youth Risk Behavioral Survey
1026,Limited English,Number,<p>Estimated number of people who do not speak English at home and are not English Proficent.</p>,American Community Survey
1028,Rent Burdened Households,Number,<p>Estimated number of renter households whose gross rent (rent plus electricity and heating fuel costs) equals at least 30 percent of their income.</p>,American Community Survey
1030,Unemployment,Number,"<p><span>Estimated number of people in the civilian labor force (16 years and older) who are unemployed.&nbsp;</span></p>
<p>&nbsp;</p>
<p><span>All civilians 16 years old and over are classified as unemployed if they (1) were neither ""at work"" nor ""with a job but not at work"" during the reference week, and (2) were looking for work during the last 4 weeks, and (3) were available to accept a job. Also included as unemployed are civilians who did not work at all during the reference week, were waiting to be called back to a job from which they had been laid off, and were available for work except for temporary illness.</span></p>
<p>&nbsp;</p>",American Community Survey
898,Adults Reporting Driving in the Last 30 Days,Number,"<p>Estimated number of adults who reported driving in NYC in the last 30 days, <span>rounded to the nearest 1,000.</span></p>",New York City Community Health Survey (CHS)
900,Adults Reporting Messaging While Driving in the Last 30 Days,Number,"<p>Estimated number of adult drivers (drove in the last 30 days) who responded &ldquo;often&rdquo;, &ldquo;sometimes&rdquo; or &ldquo;rarely&rdquo; to the question:</p>
<p>&ldquo;In the past 30 days, when you drove in New York City, how often have you read or sent a text message or email while you were driving?&rdquo;&nbsp;</p>",New York City Community Health Survey (CHS)
902,Adults Reporting Speeding in the Last 30 Days,Number,"<p>Estimated number of adult drivers&nbsp;(drove in the last 30 days)&nbsp;who responded &ldquo;often&rdquo;, &ldquo;sometimes&rdquo; or &ldquo;rarely&rdquo; to the question:</p>
<p>&nbsp;&ldquo;In the past 30 days, when you drove in New York City, how often did you drive 10 miles per hour or more over the posted speed limit?&rdquo;&nbsp;</p>",New York City Community Health Survey (CHS)
1230,Premature Mortality,Number,<p>Number of deaths under 55 years old</p>,New York City Bureau of Vital Statistics
1024,High School Graduation,Number,<p>Estimated number of people 25 years and over who have completed High School (Includes Equivalency).</p>,American Community Survey
1006,Babesiosis,Number,<p>Number of cases meeting the national case definition</p>,NYC DOHMH Bureau of Communicable Disease
884,Work-Related Deaths in the Construction Industry Citywide,Number,<p><span>Number of fatal construction injuries occurring in NYC and reported to the U.S. Bureau of Labor Statistics Census of Fatal Occupational Injuries.&nbsp;</span></p>,U.S. Bureau of Labor Statistics Census of Fatal Occupational Injuries
882,Work-Related Deaths across All Industries,Number,<p>Number of fatal work-related injuries occurring in NYC and reported to the U.S. Bureau of Labor Statistics Census of Fatal Occupational Injuries.</p>,U.S. Bureau of Labor Statistics Census of Fatal Occupational Injuries
758,Renter-Occupied Homes with No Maintenance Deficiencies,Number,"Estimated number of renter-occupied households reporting no maintenance deficiencies (heating equipment breakdown, additional heating required, rodent infestation, cracks/holes in the walls, ceilings or floors, broken plaster/peeling paint larger than 8½ x 11 inches, toilet breakdowns, or water leaks from outside the unit).",New York City Housing and Vacancy Survey (HVS)
760,Homes with Working Carbon Monoxide Detector,Number,Estimated number of households reporting a working carbon monoxide detector inside the home.,New York City Housing and Vacancy Survey (HVS)
754,Children under 5 years old in Poverty,Number,"Estimated number of children who live in a household for whom poverty status is determined, whose annual income falls below twice the federal poverty.",American Community Survey
